K = 2
0.00923304 0.00059 194
0.00928001 0.0006 213
0.00932499 0.00061 174
0.00936821 0.00062 221
0.00940985 0.00063 177
0.00945009 0.00064 557
0.00948822 0.00065 282
0.0095267 0.00066 212
0.00956358 0.00067 229
0.00959902 0.00068 264
0.0096332 0.00069 251
0.00966624 0.0007 186
0.00969824 0.00071 199
0.0097293 0.00072 194
0.0097595 0.00073 213
0.00978889 0.00074 182
0.00981756 0.00075 191
0.00984553 0.00076 193
0.00987287 0.00077 194
0.00989934 0.00078 683
0.00992573 0.00079 215
0.00995046 0.0008 256
0.00997379 0.00081 219
0.00999595 0.00082 237
0.0100171 0.00083 176
0.0100373 0.00084 183
0.0100568 0.00085 188
0.0100756 0.00086 233
0.0100937 0.00087 192
0.0101113 0.00088 171
0.0101284 0.00089 303
0.0101449 0.0009 227
0.0101611 0.00091 185
0.0101768 0.00092 184
0.0101922 0.00093 185
0.0102072 0.00094 159
0.0102218 0.00095 303
0.0102362 0.00096 423
0.0102503 0.00097 266
0.0102641 0.00098 151
0.0102777 0.00099 160
0.010291 0.001 290
0.0103041 0.00101 193
0.0103169 0.00102 175
0.0103296 0.00103 246
0.010342 0.00104 188
0.0103543 0.00105 177
0.0103664 0.00106 165
0.0103783 0.00107 152
0.0103901 0.00108 164
0.0104017 0.00109 151
0.0104131 0.0011 150
0.0104244 0.00111 190
0.0104355 0.00112 181
0.0104465 0.00113 204
0.0104574 0.00114 262
0.0104674 0.00115 568
0.0104786 0.00116 78
0.0104893 0.00117 80
0.0104997 0.00118 74
0.0105097 0.00119 76
0.0105195 0.0012 73
0.0105289 0.00121 73
0.0105382 0.00122 73
0.0105472 0.00123 72
0.0105559 0.00124 73
0.0105645 0.00125 73
0.0105729 0.00126 72
0.0105811 0.00127 73
0.0105892 0.00128 73
0.0105971 0.00129 72
0.0106048 0.0013 73
0.0106124 0.00131 73
0.0106199 0.00132 72
0.0106272 0.00133 72
0.0106345 0.00134 75
0.0106416 0.00135 73
0.0106486 0.00136 74
0.0106555 0.00137 74
0.0106623 0.00138 73
0.010669 0.00139 73
0.0106757 0.0014 75
0.0106822 0.00141 73
0.0106886 0.00142 73
0.010695 0.00143 75
0.0107013 0.00144 73
0.0107075 0.00145 74
0.0107137 0.00146 74
0.0107197 0.00147 73
0.0107257 0.00148 72
0.0107317 0.00149 75
0.0107376 0.0015 73
0.0107434 0.00151 75
0.0107491 0.00152 73
0.0107548 0.00153 72
0.0107605 0.00154 73
0.0107661 0.00155 74
0.0107716 0.00156 74
0.0107771 0.00157 76
0.0107825 0.00158 77
0.0107879 0.00159 73
0.0107933 0.0016 74
0.0107986 0.00161 73
0.0108038 0.00162 74
0.010809 0.00163 73
0.0108142 0.00164 74
0.0108193 0.00165 73
0.0108244 0.00166 73
0.0108294 0.00167 74
0.0108344 0.00168 73
0.0108394 0.00169 73
0.0108443 0.0017 74
0.0108492 0.00171 73
0.010854 0.00172 73
0.0108589 0.00173 74
0.0108636 0.00174 73
0.0108684 0.00175 73
0.0108731 0.00176 74
0.0108778 0.00177 73
0.0108825 0.00178 73
0.0108871 0.00179 73
0.0108917 0.0018 73
0.0108962 0.00181 74
0.0109008 0.00182 75
0.0109053 0.00183 72
0.0109098 0.00184 73
0.0109142 0.00185 74
0.0109187 0.00186 74
0.0109231 0.00187 73
0.0109274 0.00188 74
0.0109318 0.00189 73
0.0109361 0.0019 74
0.0109404 0.00191 74
0.0109447 0.00192 73
0.0109489 0.00193 73
0.0109532 0.00194 74
0.0109574 0.00195 73
0.0109615 0.00196 73
0.0109657 0.00197 75
0.0109698 0.00198 73
0.010974 0.00199 73
K = 6
0.00319181 0.00018 160438
0.00392559 0.00019 80555
0.00428868 0.0002 71367
0.00460735 0.00021 48628
0.00485013 0.00022 36989
0.00505423 0.00023 22916
0.00523378 0.00024 16400
0.00541342 0.00025 15786
0.00564497 0.00026 11485
0.00592592 0.00027 6591
0.00616933 0.00028 2518
0.00637301 0.00029 1625
0.00655175 0.0003 1145
0.00671294 0.00031 3018
0.00686092 0.00032 1697
0.00699848 0.00033 1305
0.00715103 0.00034 1315
0.00729348 0.00035 900
0.00742252 0.00036 723
0.00754136 0.00037 831
0.00765209 0.00038 856
0.00775617 0.00039 437
0.00785467 0.0004 900
0.00794841 0.00041 363
0.00804134 0.00042 754
0.00814424 0.00043 545
0.00823925 0.00044 804
0.00832795 0.00045 422
0.00841145 0.00046 290
0.00849057 0.00047 283
0.00856594 0.00048 342
0.00863804 0.00049 264
0.00870726 0.0005 463
0.00877392 0.00051 240
0.0088383 0.00052 259
0.0089006 0.00053 184
0.00896101 0.00054 211
0.00901971 0.00055 190
0.00907682 0.00056 297
0.00913184 0.00057 444
0.00918377 0.00058 297
0.00923304 0.00059 265
0.00928001 0.0006 236
0.00932499 0.00061 224
0.00936821 0.00062 221
0.00940985 0.00063 240
0.00945009 0.00064 202
0.00948822 0.00065 324
0.0095267 0.00066 249
0.00956358 0.00067 223
0.00959902 0.00068 254
0.0096332 0.00069 286
0.00966624 0.0007 348
0.00969824 0.00071 250
0.0097293 0.00072 210
0.0097595 0.00073 281
0.00978889 0.00074 264
0.00981756 0.00075 282
0.00984553 0.00076 250
0.00987288 0.00077 255
0.00989934 0.00078 288
0.00992573 0.00079 233
0.00995046 0.0008 186
0.00997379 0.00081 202
0.00999595 0.00082 197
0.0100171 0.00083 186
